Område;Sträcka nr;ID nr;År sedan åtgärd;Längd (m);Bredd innerslänt ;Bredd ytterslänt;Areal (m2);Groddplantor;Småplantor;Stora plantor;Små+stora;Alla;Utan lupiner;Med lupiner;Enbart groddplantor;Etablerade plantor;Enbart små lupiner;Fåtal stora lupiner;Många stora lupiner (> ca 10);Groddplantor;Småplantor;Stora plantor;Små+stora;Alla;Inom TRV;Utanför TRV;Inom+utanför TRV
Uppland;Av1550;1;3;65;2;2;260;109;130;35;165;274;;1;;1;;;1;0,419230769;0,5;0,134615385;0,634615385;1,053846154;11;5;16
Uppland;Av1550;2;3;71;2;2;284;44;75;9;84;128;;1;;1;;1;;0,154929577;0,264084507;0,031690141;0,295774648;0,450704225;0;10;10
Uppland;Av1570;1;3;29;1;1;58;3;35;30;65;68;;1;;1;;;1;0,051724138;0,603448276;0,517241379;1,120689655;1,172413793;4;10;14
Uppland;Av1586;1;3;32;2;3;160;21;17;1;18;39;;1;;1;;1;;0,13125;0,10625;0,00625;0,1125;0,24375;215;87;302
Uppland;Av1587;1;3;33;2;3;165;34;9;21;30;64;;1;;1;;;1;0,206060606;0,054545455;0,127272727;0,181818182;0,387878788;29;0;29
Uppland;Av1590;1;3;8;5;0;40;8;3;3;6;14;;1;;1;;1;;0,2;0,075;0,075;0,15;0,35;2;20;22
Uppland;Av1593;2;3;22;1;1;44;3;10;0;10;13;;1;;1;1;;;0,068181818;0,227272727;0;0,227272727;0,295454545;0;17;17
Uppland;Av1593;3;3;19;1;1;38;6;9;18;27;33;;1;;1;;;1;0,157894737;0,236842105;0,473684211;0,710526316;0,868421053;2;13;15
Uppland;Av1596;1;3;12;6;0;72;4;4;13;17;21;;1;;1;;;1;0,055555556;0,055555556;0,180555556;0,236111111;0,291666667;0;6;6
Uppland;Av1596;3;3;13;1;1;26;1;8;8;16;17;;1;;1;;1;;0,038461538;0,307692308;0,307692308;0,615384615;0,653846154;0;0;0
Uppland;Av1706;5;3;40;2;2;160;100;28;2;30;130;;1;;1;;1;;0,625;0,175;0,0125;0,1875;0,8125;1;21;22
Uppland;Av1707;1;3;10;1;4;50;9;29;2;31;40;;1;;1;;1;;0,18;0,58;0,04;0,62;0,8;8;0;8
Uppland;Av1707;3;3;11;2;3;55;0;0;0;0;0;1;;;;;;;0;0;0;0;0;4;0;4
Uppland;Av3206;1;3;5;2;0;10;0;0;0;0;0;1;;;;;;;0;0;0;0;0;3;2;5
Uppland;Av3207;1;3;34;2;1;102;1;1;1;2;3;;1;;1;;1;;0,009803922;0,009803922;0,009803922;0,019607843;0,029411765;19;1;20
Uppland;Av3207;2;3;43;2;1;129;5;35;9;44;49;;1;;1;;1;;0,03875969;0,271317829;0,069767442;0,341085271;0,379844961;19;59;78
Uppland;Av3207;4;3;36;1;1;72;0;15;5;20;20;;1;;1;;1;;0;0,208333333;0,069444444;0,277777778;0,277777778;31;50;81
Uppland;Av3207;5;3;19;1;1;38;1;1;0;1;2;;1;;1;1;;;0,026315789;0,026315789;0;0,026315789;0,052631579;9;0;9
Uppland;Av3207;6;3;15;1;1;30;0;4;4;8;8;;1;;1;;1;;0;0,133333333;0,133333333;0,266666667;0,266666667;1;4;5
Uppland;Av3207;8;3;38;2;2;152;30;36;41;77;107;;1;;1;;;1;0,197368421;0,236842105;0,269736842;0,506578947;0,703947368;37;55;92
Uppland;Av3207;9;3;17;2;0;34;60;25;10;35;95;;1;;1;;;1;1,764705882;0,735294118;0,294117647;1,029411765;2,794117647;2;37;39
Uppland;Av3208;2;3;4;1;1;8;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Uppland;Av3212;1;3;7;1;1;14;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Uppland;Av3615;1;3;8;1;1;16;0;0;1;1;1;;1;;1;;1;;0;0;0,0625;0,0625;0,0625;0;0;0
Uppland;Av3615;2;3;13;2;1;39;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;1;1
Uppland;Av3618;4;3;6;2;1;18;0;0;0;0;0;1;;;;;;;0;0;0;0;0;2;0;2
Uppland;Av3774;1;3;50;2;2;200;3;120;0;120;123;;1;;1;1;;;0,015;0,6;0;0,6;0,615;9;55;64
Uppland;Av3829;1;3;6;2;1;18;0;0;1;1;1;;1;;1;;1;;0;0;0,055555556;0,055555556;0,055555556;1;0;1
Uppland;Av3829;2;3;5;1;1;10;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Uppland;Av3829;3;3;14;1;2;42;0;1;1;2;2;;1;;1;;1;;0;0,023809524;0,023809524;0,047619048;0,047619048;0;0;0
Uppland;Av3829;4;3;25;1;2;75;21;30;6;36;57;;1;;1;;1;;0,28;0,4;0,08;0,48;0,76;14;0;14
Uppland;Av3829;4;3;37;1;2;111;100;100;40;140;240;;1;;1;;;1;0,900900901;0,900900901;0,36036036;1,261261261;2,162162162;200;200;400
Uppland;Av3834;2;3;5;1;1;10;0;2;0;2;2;;1;;1;1;;;0;0,2;0;0,2;0,2;1;0;1
Uppland;Av3834;5;3;6;1;2;18;8;2;2;4;12;;1;;1;;1;;0,444444444;0,111111111;0,111111111;0,222222222;0,666666667;15;0;15
Uppland;Av3834;6;3;4;1;1;8;0;0;2;2;2;;1;;1;;1;;0;0;0,25;0,25;0,25;0;0;0
Uppland;Av3834;7;3;24;3;1;96;0;0;0;0;0;1;;;;;;;0;0;0;0;0;9;5;14
Uppland;Av3834 ;3;3;4;1;1;8;0;0;1;1;1;;1;;1;;1;;0;0;0,125;0,125;0,125;2;0;2
Västerbotten;364;71;2;37;5;4;333;3;45;48;93;96;;1;;1;;;1;0,009009009;0,135135135;0,144144144;0,279279279;0,288288288;18;0;18
Västerbotten;364;72;2;40;6;1;280;0;3;1;4;4;;1;;1;;1;;0;0,010714286;0,003571429;0,014285714;0,014285714;20;0;20
Västerbotten;364;73;2;54;3,5;2,5;324;1;3;0;3;4;;1;;1;1;;;0,00308642;0,009259259;0;0,009259259;0,012345679;0;4;4
Västerbotten;364;74;2;35;3;2;175;2;2;0;2;4;;1;;1;1;;;0,011428571;0,011428571;0;0,011428571;0,022857143;12;4;16
Västerbotten;364;188;2;8;7;0;56;0;0;2;2;2;;1;;1;;1;;0;0;0,035714286;0,035714286;0,035714286;0;0;0
Västerbotten;364;202;2;12;6;0;72;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Västerbotten;364;203;2;23;4;2;138;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;1;1
Västerbotten;730;29;1;13;4;3;91;16;0;0;0;16;;1;1;;;;;0,175824176;0;0;0;0,175824176;0;0;0
Västerbotten;730;30;1;14;4;2;84;13;2;0;2;15;;1;;1;1;;;0,154761905;0,023809524;0;0,023809524;0,178571429;64;2;66
Västerbotten;730;31;1;10;3;2;50;7;1;0;1;8;;1;;1;1;;;0,14;0,02;0;0,02;0,16;2;0;2
Västerbotten;730;32;1;8;5;3;64;66;0;0;0;66;;1;1;;;;;1,03125;0;0;0;1,03125;0;70;70
Västerbotten;730;33;1;12;5;2;84;15;1;0;1;16;;1;;1;1;;;0,178571429;0,011904762;0;0,011904762;0,19047619;4;0;4
Västerbotten;730;35;1;6;7;0;42;5;0;0;0;5;;1;1;;;;;0,119047619;0;0;0;0,119047619;4;7;11
Västerbotten;730;36;1;108;11;0;1188;270;3;0;3;273;;1;;1;1;;;0,227272727;0,002525253;0;0,002525253;0,22979798;35;40;75
Västerbotten;761;185;3;14;3;4;98;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Västerbotten;761;199;3;16;2;1;48;0;1;0;1;1;;1;;1;1;;;0;0,020833333;0;0,020833333;0,020833333;5;23;28
Västerbotten;779;1;1;23;4;2;138;3;0;0;0;3;;1;1;;;;;0,02173913;0;0;0;0,02173913;14;0;14
Västerbotten;779;2;1;7;4;0;28;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Västerbotten;779;3;1;14;5;0;70;29;0;0;0;29;;1;1;;;;;0,414285714;0;0;0;0,414285714;0;2;2
Västerbotten;779;4;1;46;7;0;322;4;0;0;0;4;;1;1;;;;;0,01242236;0;0;0;0,01242236;2;1;3
Västerbotten;779;5;1;4;3;2;20;4;0;0;0;4;;1;1;;;;;0,2;0;0;0;0,2;0;0;0
Västerbotten;779;6;1;21;3;3;126;8;0;0;0;8;;1;1;;;;;0,063492063;0;0;0;0,063492063;0;0;0
Västerbotten;779;7;1;76;4;3;532;21;0;0;0;21;;1;1;;;;;0,039473684;0;0;0;0,039473684;0;13;13
Västerbotten;779;8;1;4;3;2;20;5;0;0;0;5;;1;1;;;;;0,25;0;0;0;0,25;2;0;2
Västerbotten;779;10;1;46;4;0;184;13;0;0;0;13;;1;1;;;;;0,070652174;0;0;0;0,070652174;0;0;0
Västerbotten;779;11;1;34;2;3;170;3;0;0;0;3;;1;1;;;;;0,017647059;0;0;0;0,017647059;0;0;0
Västerbotten;779;12;1;46;2;2;184;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;0;0
Västerbotten;779;13;1;15;5;3;120;0;0;0;0;0;1;;;;;;;0;0;0;0;0;1;0;1
Västerbotten;779;14;1;7;3;2;35;3;0;0;0;3;;1;1;;;;;0,085714286;0;0;0;0,085714286;5;0;5
Västerbotten;779;15;1;22;3;3;132;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;30;30
Västerbotten;779;16;1;86;2;3;430;4;0;0;0;4;;1;1;;;;;0,009302326;0;0;0;0,009302326;1;30;31
Västerbotten;779;17;1;43;3;3;258;24;1;0;1;25;;1;;1;1;;;0,093023256;0,003875969;0;0,003875969;0,096899225;0;3;3
Västerbotten;779;18;1;42;8;1;378;43;0;0;0;43;;1;1;;;;;0,113756614;0;0;0;0,113756614;1;100;101
Västerbotten;779;20;1;57;3;2;285;22;0;0;0;22;;1;1;;;;;0,077192982;0;0;0;0,077192982;39;80;119
Västerbotten;779;22;1;63;4;2;378;100;0;0;0;100;;1;1;;;;;0,264550265;0;0;0;0,264550265;6;1000;1006
Västerbotten;779;23;1;5;3;1;20;0;0;0;0;0;1;;;;;;;0;0;0;0;0;5;0;5
Västerbotten;779;24;1;7;3;4;49;0;0;0;0;0;1;;;;;;;0;0;0;0;0;1;0;1
Västerbotten;779;25;1;28;3;3;168;15;0;0;0;15;;1;1;;;;;0,089285714;0;0;0;0,089285714;1;120;121
Västerbotten;779;26;1;18;3;2;90;0;0;0;0;0;1;;;;;;;0;0;0;0;0;1;0;1
Västerbotten;779;27;1;54;4;2;324;9;0;0;0;9;;1;1;;;;;0,027777778;0;0;0;0,027777778;20;200;220
Västerbotten;779;21A;1;30;4;0;120;0;0;0;0;0;1;;;;;;;0;0;0;0;0;0;35;35
Västerbotten;779;21B;1;9;3;2;45;0;0;0;0;0;1;;;;;;;0;0;0;0;0;8;9;17
Västerbotten;779;9A;1;14;4;0;56;1;0;0;0;1;;1;1;;;;;0,017857143;0;0;0;0,017857143;0;1;1
Västerbotten;779;9B;1;6;5;0;30;2;0;0;0;2;;1;1;;;;;0,066666667;0;0;0;0,066666667;0;0;0
Västerbotten;803;81;3;7;3;3;42;0;0;0;0;0;1;;;;;;;0;0;0;0;0;4;3;7
Västerbotten;805;82;2;16;4;2;96;6;0;0;0;6;;1;1;;;;;0,0625;0;0;0;0,0625;7;200;207
Västerbotten;805;83;2;24;4;2;144;100;1;1;2;102;;1;;1;;1;;0,694444444;0,006944444;0,006944444;0,013888889;0,708333333;57;100;157
Västerbotten;805;208;2;136;4;2;816;3;0;0;0;3;;1;1;;;;;0,003676471;0;0;0;0,003676471;20;50;70
Västerbotten;814;69;2;49;4;0;196;0;1;0;1;1;;1;;1;1;;;0;0,005102041;0;0,005102041;0,005102041;1;0;1
Västerbotten;814;184;2;86;2;6;688;20;0;0;0;20;;1;1;;;;;0,029069767;0;0;0;0,029069767;27;1;28
Västerbotten;814;194;2;33;3;2;165;0;0;0;0;0;1;;;;;;;0;0;0;0;0;23;23;46
Västerbotten;814;195;2;19;3;1;76;0;1;0;1;1;;1;;1;1;;;0;0,013157895;0;0,013157895;0,013157895;4;0;4
Västerbotten;814;196;2;8;4;2;48;0;0;0;0;0;1;;;;;;;0;0;0;0;0;3;5;8
Västerbotten;814;197;2;36;5;1;216;0;0;4;4;4;;1;;1;;1;;0;0;0,018518519;0,018518519;0,018518519;3;0;3
Västerbotten;814;198;2;20;2;3;100;0;0;0;0;0;1;;;;;;;0;0;0;0;0;2;45;47
