"";"ID";"Point.digging";"Area";"Digging.depth";"Uneven.digging.depth";"Seedlings";"Big.Small";"Total.outside";"Year";"Surroundings";"Orientation";"Djup.cm";"plantorUtanför"
"1";"3";"Yes";2;22,5;"No";"0";0;0;2023;"Garden";"West";"20";"Nej"
"2";"4";"Yes";2;25;"No";"0";0;0;2023;"Garden";"West";"20";"Nej"
"3";"13A";"No";25,62;10;"No";"1";0;0;2023;"Garden/Forest";"East";"10";"Nej"
"4";"15";"No";6,16;27;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"5";"18";"Yes";5,88;20;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"6";"19A";"No";17,5;30;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"7";"19G";"No";22,4;20;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"8";"19L";"No";24,8;30;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"9";"19M";"Yes";1;20;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"10";"20";"Yes";2;20;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"11";"22";"Yes";1,9;30;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"12";"24";"No";22,33;30;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"13";"25";"Yes";1;20;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"14";"26";"Yes";1;10;"No";"0";0;0;2023;"Forest";"East";"10";"Nej"
"15";"27A";"Yes";1;20;"No";"0";0;0;2023;"Garden";"East";"20";"Nej"
"16";"29B";"No";27,14;25;"No";"0";0;0;2023;"Forest";"West";"20";"Nej"
"17";"29C";"No";29,5;35;"No";"0";0;0;2023;"Forest";"West";"30";"Nej"
"18";"31F";"No";20,28;10;"No";"0";0;0;2023;"Agricultural";"East";"10";"Nej"
"19";"31G";"No";21,12;30;"No";"0";0;0;2023;"Agricultural";"East";"30";"Nej"
"20";"32A";"No";12,22;30;"No";"0";0;0;2023;"Garden";"East";"30";"Nej"
"21";"32F";"No";16;15;"No";"0";0;0;2023;"Garden";"East";"10";"Nej"
"22";"32G";"No";19,89;35;"No";"0";0;0;2023;"Garden";"East";"30";"Nej"
"23";"32H";"No";22,5;20;"No";"0";0;0;2023;"Garden";"East";"20";"Nej"
"24";"33A";"No";21,6;10;"No";"0";0;0;2023;"Garden";"East";"10";"Nej"
"25";"39";"No";18,13;30;"No";"4";0;0;2023;"Garden";"East";"30";"Nej"
"26";"41D";"No";22;30;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"27";"41F";"No";17,6;25;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"28";"41H";"No";17,63;10;"No";"0";0;0;2023;"Forest";"East";"10";"Nej"
"29";"41I";"No";16,81;20;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"30";"41J";"No";19,27;30;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"31";"41M";"No";18,8;35;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"32";"41N";"No";13,34;15;"No";"0";0;0;2023;"Forest";"East";"10";"Nej"
"33";"41O";"No";20,28;20;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"34";"41P";"No";19,5;30;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"35";"41Q";"No";17,94;10;"No";"0";0;0;2023;"Forest";"East";"10";"Nej"
"36";"41R";"No";19,61;25;"No";"0";0;0;2023;"Forest";"East";"20";"Nej"
"37";"41S";"No";17,02;40;"No";"0";0;0;2023;"Forest";"East";"30";"Nej"
"38";"42B";"Yes";1,68;20;"No";"0";0;0;2023;"Garden";"East";"10";"Nej"
"39";"42F";"No";24,5;30;"No";"0";0;0;2023;"Garden";"East";"30";"Nej"
"40";"42G";"No";22,08;15;"No";"0";0;0;2023;"Garden";"East";"10";"Nej"
"41";"42H";"No";26,79;25;"No";"0";0;0;2023;"Garden";"East";"20";"Nej"
"42";"42I";"No";24,96;30;"No";"0";1;0;2023;"Garden";"East";"30";"Nej"
"43";"42K";"No";37,26;20;"No";"0";0;0;2023;"Garden";"East";"20";"Nej"
"44";"46D";"No";22,54;35;"No";"0";0;0;2023;"Garden";"East";"30";"Nej"
"45";"50";"Yes";3,24;10;"No";"0";0;0;2023;"Garden";"East";"10";"Nej"
"46";"51";"Yes";3,23;10;"No";"0";0;0;2023;"Forest";"West";"10";"Nej"
"47";"52B";"Yes";2,72;10;"No";"0";0;0;2023;"Garden";"East";"10";"Nej"
"48";"53A";"No";18,92;30;"No";"0";0;0;2023;"Garden";"East";"30";"Nej"
"49";"53B";"No";30,1;10;"No";"0";0;0;2023;"Garden";"East";"10";"Nej"
"50";"54";"No";16,34;10;"No";"0";0;0;2023;"Forest";"East";"10";"Nej"
"51";"3";"Yes";2;22,5;"No";"0";0;4;2024;"Garden";"West";"20";"Ja"
"52";"4";"Yes";2;25;"No";"0";0;0;2024;"Garden";"West";"20";"Nej"
"53";"13A";"No";25,62;10;"No";"0";0;0;2024;"Garden/Forest";"East";"10";"Nej"
"54";"15";"No";6,16;27;"No";"0";0;0;2024;"Forest";"East";"30";"Nej"
"55";"18";"Yes";5,88;20;"No";"0";0;0;2024;"Forest";"East";"20";"Nej"
"56";"19A";"No";17,5;30;"No";"0";0;1;2024;"Forest";"East";"30";"Ja"
"57";"19G";"No";22,4;20;"No";"0";0;0;2024;"Forest";"East";"20";"Nej"
"58";"19L";"No";24,8;30;"No";"0";0;1;2024;"Forest";"East";"30";"Ja"
"59";"19M";"Yes";1;20;"No";"Ej inventerat pga för stor störning";0;0;2024;"Forest";"East";"20";"Nej"
"60";"20";"Yes";2;20;"No";"0";0;5;2024;"Forest";"East";"20";"Ja"
"61";"22";"Yes";1,9;30;"No";"Ej inventerat pga för stor störning";0;0;2024;"Forest";"East";"30";"Nej"
"62";"24";"No";22,33;30;"No";"0";0;0;2024;"Forest";"East";"30";"Nej"
"63";"25";"Yes";1;20;"No";"Ej inventerat pga för stor störning";0;0;2024;"Forest";"East";"20";"Nej"
"64";"26";"Yes";1;10;"No";"Ej inventerat pga för stor störning";0;0;2024;"Forest";"East";"10";"Nej"
"65";"27A";"Yes";1;20;"No";"Ej inventerat pga för stor störning";0;0;2024;"Garden";"East";"20";"Nej"
"66";"29B";"No";27,14;25;"No";"0";0;4;2024;"Forest";"West";"20";"Ja"
"67";"29C";"No";29,5;35;"No";"0";0;5;2024;"Forest";"West";"30";"Ja"
"68";"31F";"No";20,28;10;"No";"0";0;0;2024;"Agricultural";"East";"10";"Nej"
"69";"31G";"No";21,12;30;"No";"0";0;1;2024;"Agricultural";"East";"30";"Ja"
"70";"32A";"No";12,22;30;"No";"0";0;0;2024;"Garden";"East";"30";"Nej"
"71";"32F";"No";16;15;"No";"1";0;0;2024;"Garden";"East";"10";"Nej"
"72";"32G";"No";19,89;35;"No";"0";0;0;2024;"Garden";"East";"30";"Nej"
"73";"32H";"No";22,5;20;"No";"0";0;0;2024;"Garden";"East";"20";"Nej"
"74";"33A";"No";21,6;10;"No";"1";0;0;2024;"Garden";"East";"10";"Nej"
"75";"39";"No";18,13;30;"No";"8";0;2;2024;"Garden";"East";"30";"Ja"
"76";"41D";"No";22;30;"No";"0";0;2;2024;"Forest";"East";"30";"Ja"
"77";"41F";"No";17,6;25;"No";"0";0;0;2024;"Forest";"East";"20";"Nej"
"78";"41H";"No";17,63;10;"No";"0";0;0;2024;"Forest";"East";"10";"Nej"
"79";"41I";"No";16,81;20;"No";"0";0;0;2024;"Forest";"East";"20";"Nej"
"80";"41J";"No";19,27;30;"No";"0";0;0;2024;"Forest";"East";"30";"Nej"
"81";"41M";"No";18,8;35;"No";"0";0;0;2024;"Forest";"East";"30";"Nej"
"82";"41N";"No";13,34;15;"No";"0";0;0;2024;"Forest";"East";"10";"Nej"
"83";"41O";"No";20,28;20;"No";"0";0;0;2024;"Forest";"East";"20";"Nej"
"84";"41P";"No";19,5;30;"No";"0";0;0;2024;"Forest";"East";"30";"Nej"
"85";"41Q";"No";17,94;10;"No";"0";0;0;2024;"Forest";"East";"10";"Nej"
"86";"41R";"No";19,61;25;"No";"0";0;0;2024;"Forest";"East";"20";"Nej"
"87";"41S";"No";17,02;40;"No";"0";0;0;2024;"Forest";"East";"30";"Nej"
"88";"42B";"Yes";1,68;20;"No";"0";0;0;2024;"Garden";"East";"10";"Nej"
"89";"42F";"No";24,5;30;"No";"0";1;1;2024;"Garden";"East";"30";"Ja"
"90";"42G";"No";22,08;15;"No";"0";3;2;2024;"Garden";"East";"10";"Ja"
"91";"42H";"No";26,79;25;"No";"0";0;1;2024;"Garden";"East";"20";"Ja"
"92";"42I";"No";24,96;30;"No";"0";0;0;2024;"Garden";"East";"30";"Nej"
"93";"42K";"No";37,26;20;"No";"0";0;0;2024;"Garden";"East";"20";"Nej"
"94";"46D";"No";22,54;35;"No";"0";0;1;2024;"Garden";"East";"30";"Ja"
"95";"50";"Yes";3,24;10;"No";"Ej inventerat pga för stor störning";0;0;2024;"Garden";"East";"10";"Nej"
"96";"51";"Yes";3,23;10;"No";"Ej inventerat pga för stor störning";0;0;2024;"Forest";"West";"10";"Nej"
"97";"52B";"Yes";2,72;10;"No";"Ej inventerat pga för stor störning";0;0;2024;"Garden";"East";"10";"Nej"
"98";"53A";"No";18,92;30;"No";"0";0;0;2024;"Garden";"East";"30";"Nej"
"99";"53B";"No";30,1;10;"No";"0";0;0;2024;"Garden";"East";"10";"Nej"
"100";"54";"No";16,34;10;"No";"0";0;4;2024;"Forest";"East";"10";"Ja"
"101";"3";"Yes";2;22,5;"No";"";1;NA;2022;"Garden";"West";"20";NA
"102";"4";"Yes";2;25;"No";"";1;NA;2022;"Garden";"West";"20";NA
"103";"13A";"No";25,62;10;"No";"";22;NA;2022;"Garden/Forest";"East";"10";NA
"104";"15";"No";6,16;27;"No";"";16;NA;2022;"Forest";"East";"30";NA
"105";"18";"Yes";5,88;20;"No";"";2;NA;2022;"Forest";"East";"20";NA
"106";"19A";"No";17,5;30;"No";"";13;NA;2022;"Forest";"East";"30";NA
"107";"19G";"No";22,4;20;"No";"";9;NA;2022;"Forest";"East";"20";NA
"108";"19L";"No";24,8;30;"No";"";47;NA;2022;"Forest";"East";"30";NA
"109";"19M";"Yes";1;20;"No";"";2;NA;2022;"Forest";"East";"20";NA
"110";"20";"Yes";2;20;"No";"";1;NA;2022;"Forest";"East";"20";NA
"111";"22";"Yes";1,9;30;"No";"";1;NA;2022;"Forest";"East";"30";NA
"112";"24";"No";22,33;30;"No";"";3;NA;2022;"Forest";"East";"30";NA
"113";"25";"Yes";1;20;"No";"";1;NA;2022;"Forest";"East";"20";NA
"114";"26";"Yes";1;10;"No";"";1;NA;2022;"Forest";"East";"10";NA
"115";"27A";"Yes";1;20;"No";"";1;NA;2022;"Garden";"East";"20";NA
"116";"29B";"No";27,14;25;"No";"";121;NA;2022;"Forest";"West";"20";NA
"117";"29C";"No";29,5;35;"No";"";16;NA;2022;"Forest";"West";"30";NA
"118";"31F";"No";20,28;10;"No";"";50;NA;2022;"Agricultural";"East";"10";NA
"119";"31G";"No";21,12;30;"No";"";9;NA;2022;"Agricultural";"East";"30";NA
"120";"32A";"No";12,22;30;"No";"";10;NA;2022;"Garden";"East";"30";NA
"121";"32F";"No";16;15;"No";"";16;NA;2022;"Garden";"East";"10";NA
"122";"32G";"No";19,89;35;"No";"";17;NA;2022;"Garden";"East";"30";NA
"123";"32H";"No";22,5;20;"No";"";7;NA;2022;"Garden";"East";"20";NA
"124";"33A";"No";21,6;10;"No";"";42;NA;2022;"Garden";"East";"10";NA
"125";"39";"No";18,13;30;"No";"";13;NA;2022;"Garden";"East";"30";NA
"126";"41D";"No";22;30;"No";"";18;NA;2022;"Forest";"East";"30";NA
"127";"41F";"No";17,6;25;"No";"";8;NA;2022;"Forest";"East";"20";NA
"128";"41H";"No";17,63;10;"No";"";13;NA;2022;"Forest";"East";"10";NA
"129";"41I";"No";16,81;20;"No";"";1;NA;2022;"Forest";"East";"20";NA
"130";"41J";"No";19,27;30;"No";"";7;NA;2022;"Forest";"East";"30";NA
"131";"41M";"No";18,8;35;"No";"";13;NA;2022;"Forest";"East";"30";NA
"132";"41N";"No";13,34;15;"No";"";11;NA;2022;"Forest";"East";"10";NA
"133";"41O";"No";20,28;20;"No";"";2;NA;2022;"Forest";"East";"20";NA
"134";"41P";"No";19,5;30;"No";"";16;NA;2022;"Forest";"East";"30";NA
"135";"41Q";"No";17,94;10;"No";"";2;NA;2022;"Forest";"East";"10";NA
"136";"41R";"No";19,61;25;"No";"";1;NA;2022;"Forest";"East";"20";NA
"137";"41S";"No";17,02;40;"No";"";0;NA;2022;"Forest";"East";"30";NA
"138";"42B";"Yes";1,68;20;"No";"";1;NA;2022;"Garden";"East";"10";NA
"139";"42F";"No";24,5;30;"No";"";37;NA;2022;"Garden";"East";"30";NA
"140";"42G";"No";22,08;15;"No";"";36;NA;2022;"Garden";"East";"10";NA
"141";"42H";"No";26,79;25;"No";"";16;NA;2022;"Garden";"East";"20";NA
"142";"42I";"No";24,96;30;"No";"";67;NA;2022;"Garden";"East";"30";NA
"143";"42K";"No";37,26;20;"No";"";5;NA;2022;"Garden";"East";"20";NA
"144";"46D";"No";22,54;35;"No";"";35;NA;2022;"Garden";"East";"30";NA
"145";"50";"Yes";3,24;10;"No";"";1;NA;2022;"Garden";"East";"10";NA
"146";"51";"Yes";3,23;10;"No";"";1;NA;2022;"Forest";"West";"10";NA
"147";"52B";"Yes";2,72;10;"No";"";1;NA;2022;"Garden";"East";"10";NA
"148";"53A";"No";18,92;30;"No";"";19;NA;2022;"Garden";"East";"30";NA
"149";"53B";"No";30,1;10;"No";"";16;NA;2022;"Garden";"East";"10";NA
"150";"54";"No";16,34;10;"No";"";12;NA;2022;"Forest";"East";"10";NA
